ProductID,ProductCategory,ProductBrand,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent
5874,Smartphones,Other Brands,312.9496681,18,0,2,1,0
5875,Smart Watches,Samsung,980.3894043,35,1,7,2,1
5876,Tablets,Samsung,2606.718293,63,0,1,5,1
5877,Smartphones,Samsung,870.3954502,63,1,10,3,1
5878,Tablets,Sony,1798.955875,57,0,17,3,0
5879,Smartphones,Samsung,373.1483248,37,1,8,1,1
5880,Smartphones,Samsung,2330.036775,26,1,5,5,1
5881,Smartphones,HP,780.1014938,35,0,12,5,1
5882,Laptops,Other Brands,2264.561583,19,1,3,4,1
5883,Laptops,HP,1001.624006,66,1,8,4,1
5884,Smartphones,Other Brands,879.1223676,20,1,1,3,0
5885,Laptops,Apple,1563.857732,38,1,14,2,1
5886,Tablets,Samsung,1297.366932,48,0,1,3,0
5887,Headphones,Sony,1756.838309,62,0,2,5,1
5888,Headphones,Apple,2486.693287,54,0,12,4,1
5889,Tablets,HP,1280.456081,33,0,1,2,0
5890,Tablets,Samsung,2388.495395,29,1,3,4,1
5891,Smartphones,Apple,420.7798215,26,0,16,1,0
5892,Tablets,Apple,1224.174678,28,0,4,5,0
5893,Smart Watches,Samsung,2441.432737,43,0,5,5,1
5894,Smartphones,Other Brands,1073.066016,58,0,4,3,0
5895,Headphones,HP,2815.031731,34,0,12,2,0
5896,Laptops,HP,206.6678154,65,0,18,4,1
5897,Headphones,HP,374.5263838,67,1,7,5,1
5898,Headphones,Other Brands,835.6847453,23,0,17,2,0
5899,Laptops,HP,887.2720459,61,1,10,1,1
5900,Tablets,Samsung,2158.442395,58,1,12,4,1
5901,Smartphones,Apple,1581.973176,64,0,5,5,1
5902,Smart Watches,HP,2096.888846,37,0,18,1,0
5903,Headphones,Apple,2106.732765,55,0,15,5,1
5904,Smartphones,Other Brands,2697.27151,56,1,10,2,1
5905,Tablets,HP,1342.583389,28,1,17,4,1
5906,Tablets,Other Brands,2633.699013,42,0,2,2,0
5907,Smartphones,Apple,958.3976167,57,1,2,2,1
5908,Smartphones,Apple,2417.03292,39,1,9,4,1
5909,Smartphones,HP,1678.286984,50,0,14,5,1
5910,Headphones,Other Brands,2522.528025,52,1,14,5,1
5911,Tablets,Other Brands,1440.011123,50,1,1,2,1
5912,Laptops,Samsung,322.6733416,40,0,7,3,0
5913,Smart Watches,Samsung,688.2640303,41,0,10,2,0
5914,Smart Watches,HP,947.0584632,29,1,18,2,0
5915,Smart Watches,HP,2265.918206,65,1,19,2,1
5916,Tablets,Other Brands,1951.99175,30,1,2,1,0
5917,Headphones,HP,2303.116596,47,1,4,3,1
5918,Smart Watches,Apple,2618.423157,60,1,18,5,1
5919,Smartphones,Samsung,660.1329832,29,1,9,1,0
5920,Tablets,Sony,1568.823405,41,1,17,3,1
5921,Laptops,Samsung,2164.422877,21,0,16,3,0
5922,Smart Watches,Sony,364.1904976,33,1,17,4,1
5923,Smartphones,Apple,1513.504107,49,1,1,5,1
5924,Laptops,Samsung,1172.248335,57,0,9,2,0
5925,Tablets,Other Brands,1012.108106,26,0,18,5,0
5926,Smart Watches,Sony,1283.702465,21,1,4,4,1
5927,Smartphones,HP,2828.711373,19,1,12,2,0
5928,Smartphones,HP,202.4653978,18,0,1,5,0
5929,Smart Watches,Samsung,551.4949065,27,1,5,4,1
5930,Smart Watches,Samsung,2674.5476,51,0,19,2,0
5931,Laptops,Other Brands,803.5864284,25,0,6,5,0
5932,Tablets,Sony,2721.578632,25,1,15,3,0
